survey_id,site_name,site_country,latitude,longitude,region,date_start,date_end,transect,start_at,start_time,end_time,muticum,horneri,undaria,caulerpa,observer
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,1,06/04/2023,12:08 pm,12:13 pm,No,No,No,No,Carol Walter
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,10:20 am,10:25 am,No,No,No,No,Carol Walter
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,12:15 pm,12:25 pm,No,No,No,No,Carol Walter
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,10:11 am,10:15 am,No,No,No,No,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,Yes,No,No,No,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,10:35 am,10:40 am,No,No,No,No,Michelle Halpin
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025, 9:48 am,10:18 am,No,No,No,No,Samuel Bishop
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,2,07/06/2025, 9:44 am,10:12 am,No,No,No,No,Erica Bleke
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,3,07/06/2025,,,No,No,No,No,Erica Bleke
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,4,06/07/2025,12:18 pm,12:39 pm,No,No,No,No,Samuel Bishop
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,5,07/06/2025,12:07 pm,12:28 pm,No,No,No,No,Erica Bleke
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,6,07/06/2025,12:45 pm, 1:03 pm,No,No,No,No,Erica Bleke
03dfff10-f865-43bb-adb8-9497ea5b9ea5,Saltwater State Park,United States of America,47.373282,-122.327981,California,08/13/2023,08/18/2023,1,08/13/2023, 9:34 am, 9:41 am,Yes,No,No,No,Jackie  Selbitschka
03dfff10-f865-43bb-adb8-9497ea5b9ea5,Saltwater State Park,United States of America,47.373282,-122.327981,California,08/13/2023,08/18/2023,2,08/13/2023, 9:36 am, 9:47 am,No,No,No,No,Tim McClure
03dfff10-f865-43bb-adb8-9497ea5b9ea5,Saltwater State Park,United States of America,47.373282,-122.327981,California,08/13/2023,08/18/2023,3,08/13/2023,12:15 pm,12:25 pm,No,No,No,No,Tim McClure
03dfff10-f865-43bb-adb8-9497ea5b9ea5,Saltwater State Park,United States of America,47.373282,-122.327981,California,08/13/2023,08/18/2023,4,08/13/2023,10:02 am,10:11 am,No,No,No,No,Tim McClure
03dfff10-f865-43bb-adb8-9497ea5b9ea5,Saltwater State Park,United States of America,47.373282,-122.327981,California,08/13/2023,08/18/2023,5,08/18/2023,12:52 pm, 1:03 pm,Yes,No,No,No,Jackie  Selbitschka
03dfff10-f865-43bb-adb8-9497ea5b9ea5,Saltwater State Park,United States of America,47.373282,-122.327981,California,08/13/2023,08/18/2023,6,08/18/2023, 1:10 pm, 1:19 pm,Yes,No,No,No,Jackie  Selbitschka
0699e69b-39bd-4bd1-beef-af37443cad1b,Owen Beach,United States of America,47.31752,-122.53389,California,06/11/2024,06/26/2024,1,06/11/2024, 9:46 am, 9:55 am,Yes,No,No,No,Adam Schare
0699e69b-39bd-4bd1-beef-af37443cad1b,Owen Beach,United States of America,47.31752,-122.53389,California,06/11/2024,06/26/2024,2,06/11/2024, 9:17 am, 9:37 am,Yes,No,No,No,Adam Schare
0699e69b-39bd-4bd1-beef-af37443cad1b,Owen Beach,United States of America,47.31752,-122.53389,California,06/11/2024,06/26/2024,3,06/16/2024, 3:43 pm, 3:56 pm,No,No,No,No,Adam Schare
0699e69b-39bd-4bd1-beef-af37443cad1b,Owen Beach,United States of America,47.31752,-122.53389,California,06/11/2024,06/26/2024,4,06/12/2024,10:46 am,11:06 am,Yes,No,No,No,Adam Schare
0699e69b-39bd-4bd1-beef-af37443cad1b,Owen Beach,United States of America,47.31752,-122.53389,California,06/11/2024,06/26/2024,5,06/12/2024,10:13 am,10:40 am,Yes,No,No,No,Adam Schare
0699e69b-39bd-4bd1-beef-af37443cad1b,Owen Beach,United States of America,47.31752,-122.53389,California,06/11/2024,06/26/2024,6,06/12/2024,12:00 pm,12:20 pm,Yes,No,No,No,Adam Schare
069c9059-c446-4004-81c1-f65e32266924,Lincoln Park,United States of America,47.536153,-122.397348,California,05/31/2025,05/31/2025,1,05/31/2025,10:34 am,10:42 am,No,No,No,No,Steve Cook
