survey_id,site_name,site_country,latitude,longitude,region,date_start,date_end,transect,start_at,start_time,end_time,depth_start,depth_end,species,category,amount,observer
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,1,06/04/2023,,,55.0,55.0,1) Sand,UPC Substrate,7,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,1,06/04/2023,,,55.0,55.0,Pebble (0.5-5cm-WA),UPC Substrate,6,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,1,06/04/2023,,,55.0,55.0,Shell Hash,UPC Substrate,17,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,1,06/04/2023,,,55.0,55.0,1 (>10cm-1m),UPC Relief,30,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,1,06/04/2023,,,55.0,55.0,1) None,UPC Cover,23,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,1,06/04/2023,,,55.0,55.0,3) Other Brown Algae (Any Part),UPC Cover,7,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,,,55.0,55.0,4) Reef,UPC Substrate,6,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,,,55.0,55.0,Pebble (0.5-5cm-WA),UPC Substrate,1,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,,,55.0,55.0,Rock (15-25cm-WA),UPC Substrate,1,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,,,55.0,55.0,Small Boulder (25-50cm-WA),UPC Substrate,3,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,,,55.0,55.0,Large Boulder (50cm-1m-WA),UPC Substrate,3,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,,,55.0,55.0,Shell Hash,UPC Substrate,14,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,,,55.0,55.0,1 (>10cm-1m),UPC Relief,28,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,,,55.0,55.0,2 (>1m-2m),UPC Relief,2,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,,,55.0,55.0,1) None,UPC Cover,24,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,,,55.0,55.0,6) Encrusting Red Algae,UPC Cover,6,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,,,55.0,55.0,Superlayer Mobile Invertebrates,UPC Cover,3,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,,,55.0,55.0,Cobble (5-15cm-WA),UPC Substrate,2,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,1) Sand,UPC Substrate,3,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,4) Reef,UPC Substrate,2,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,Pebble (0.5-5cm-WA),UPC Substrate,1,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,Rock (15-25cm-WA),UPC Substrate,1,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,Large Boulder (50cm-1m-WA),UPC Substrate,12,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,Shell Hash,UPC Substrate,11,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,1 (>10cm-1m),UPC Relief,30,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,1) None,UPC Cover,13,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,3) Other Brown Algae (Any Part),UPC Cover,2,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,5) Red Algae,UPC Cover,2,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,6) Encrusting Red Algae,UPC Cover,11,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,8) Crustose Coralline,UPC Cover,1,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,9) Sessile Invertebrates,UPC Cover,1,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,,,39.0,36.0,Superlayer Brown Algae,UPC Cover,1,Tim McClure (old)
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,1) Sand,UPC Substrate,5,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,4) Reef,UPC Substrate,8,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,Rock (15-25cm-WA),UPC Substrate,4,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,Small Boulder (25-50cm-WA),UPC Substrate,9,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,Large Boulder (50cm-1m-WA),UPC Substrate,1,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,Shell Hash,UPC Substrate,3,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,1 (>10cm-1m),UPC Relief,20,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,2 (>1m-2m),UPC Relief,10,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,1) None,UPC Cover,10,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,3) Other Brown Algae (Any Part),UPC Cover,1,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,5) Red Algae,UPC Cover,2,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,6) Encrusting Red Algae,UPC Cover,13,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,8) Crustose Coralline,UPC Cover,3,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,9) Sessile Invertebrates,UPC Cover,1,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,Superlayer Brown Algae,UPC Cover,1,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,,,40.0,42.0,Superlayer Red Algae,UPC Cover,3,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,1) Sand,UPC Substrate,5,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,4) Reef,UPC Substrate,1,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,Rock (15-25cm-WA),UPC Substrate,5,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,Small Boulder (25-50cm-WA),UPC Substrate,9,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,Large Boulder (50cm-1m-WA),UPC Substrate,7,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,Shell Hash,UPC Substrate,3,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,1 (>10cm-1m),UPC Relief,27,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,2 (>1m-2m),UPC Relief,3,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,1) None,UPC Cover,9,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,3) Other Brown Algae (Any Part),UPC Cover,2,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,5) Red Algae,UPC Cover,1,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,6) Encrusting Red Algae,UPC Cover,16,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,8) Crustose Coralline,UPC Cover,1,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,9) Sessile Invertebrates,UPC Cover,1,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,,,30.0,27.0,Superlayer Brown Algae,UPC Cover,11,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,1) Sand,UPC Substrate,2,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,4) Reef,UPC Substrate,11,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,Rock (15-25cm-WA),UPC Substrate,5,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,Small Boulder (25-50cm-WA),UPC Substrate,4,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,Large Boulder (50cm-1m-WA),UPC Substrate,5,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,Shell Hash,UPC Substrate,2,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,1 (>10cm-1m),UPC Relief,24,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,2 (>1m-2m),UPC Relief,6,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,1) None,UPC Cover,8,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,3) Other Brown Algae (Any Part),UPC Cover,4,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,5) Red Algae,UPC Cover,3,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,6) Encrusting Red Algae,UPC Cover,14,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,8) Crustose Coralline,UPC Cover,1,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,Superlayer Brown Algae,UPC Cover,19,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,Superlayer Red Algae,UPC Cover,1,Kyra Anderson
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,,,21.0,22.0,Cobble (5-15cm-WA),UPC Substrate,1,Kyra Anderson
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025,,,17.0,15.0,1) Sand,UPC Substrate,1,Anya  Voloshin
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025,,,17.0,15.0,0 (0-10cm),UPC Relief,18,Anya  Voloshin
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025,,,17.0,15.0,1 (>10cm-1m),UPC Relief,10,Anya  Voloshin
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025,,,17.0,15.0,2 (>1m-2m),UPC Relief,2,Anya  Voloshin
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025,,,17.0,15.0,3 (>2m),UPC Relief,0,Anya  Voloshin
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025,,,17.0,15.0,1) None,UPC Cover,10,Anya  Voloshin
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025,,,17.0,15.0,3) Other Brown Algae (Any Part),UPC Cover,11,Anya  Voloshin
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025,,,17.0,15.0,5) Red Algae,UPC Cover,3,Anya  Voloshin
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025,,,17.0,15.0,7) Articulated Coralline,UPC Cover,1,Anya  Voloshin
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025,,,17.0,15.0,8) Crustose Coralline,UPC Cover,4,Anya  Voloshin
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025,,,17.0,15.0,9) Sessile Invertebrates,UPC Cover,1,Anya  Voloshin
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,07/06/2025,,,17.0,15.0,Pebble (0.5-5cm-WA),UPC Substrate,16,Anya  Voloshin
